,Conditions,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (EDT),Time (EST),Visibility,Wind Dir,Wind Speed,Windchill,date
8,Clear,9.0°F,	,  -,,55%,,30.63in,23.0°F,,8:51 AM,10.0mi,Calm,Calm,  -,2014-01-09
9,Clear,8.1°F,	,  -,,49%,,30.65in,25.0°F,,9:51 AM,10.0mi,Variable,5.8mph,18.1°F,2014-01-09
10,Clear,8.1°F,	,  -,,47%,,30.65in,26.1°F,,10:51 AM,10.0mi,Variable,3.5mph,21.9°F,2014-01-09
11,Clear,8.1°F,	,  -,,41%,,30.62in,28.9°F,,11:51 AM,10.0mi,East,3.5mph,25.2°F,2014-01-09
12,Clear,8.1°F,	,  -,,40%,,30.60in,30.0°F,,12:51 PM,10.0mi,Calm,Calm,  -,2014-01-09
13,Clear,7.0°F,	,  -,,37%,,30.60in,30.9°F,,1:51 PM,10.0mi,Calm,Calm,  -,2014-01-09
14,Clear,7.0°F,	,  -,,35%,,30.60in,32.0°F,,2:51 PM,10.0mi,West,3.5mph,28.7°F,2014-01-09
15,Clear,7.0°F,	,  -,,37%,,30.61in,30.9°F,,3:51 PM,10.0mi,WNW,4.6mph,26.2°F,2014-01-09
16,Clear,7.0°F,	,  -,,37%,,30.62in,30.9°F,,4:51 PM,10.0mi,Calm,Calm,  -,2014-01-09
17,Clear,7.0°F,	,  -,,38%,,30.64in,30.0°F,,6:51 PM,10.0mi,Calm,Calm,  -,2014-01-09
18,Clear,10.9°F,	,  -,,45%,,30.63in,30.0°F,,7:51 PM,10.0mi,East,3.5mph,26.5°F,2014-01-09
19,Clear,10.9°F,	,  -,,47%,,30.61in,28.9°F,,8:51 PM,10.0mi,Calm,Calm,  -,2014-01-09
20,Clear,12.0°F,	,  -,,49%,,30.61in,28.9°F,,9:51 PM,10.0mi,SSE,3.5mph,25.2°F,2014-01-09
21,Scattered Clouds,12.0°F,	,  -,,47%,,30.61in,30.0°F,,10:51 PM,10.0mi,South,6.9mph,23.2°F,2014-01-09
22,Partly Cloudy,14.0°F,	,  -,,51%,,30.60in,30.0°F,,11:51 PM,10.0mi,South,4.6mph,25.2°F,2014-01-09
0,Partly Cloudy,16.0°F,	,  -,,54%,,30.57in,30.9°F,,12:51 AM,10.0mi,South,8.1mph,23.5°F,2014-01-10
1,Mostly Cloudy,18.0°F,	,  -,,56%,,30.56in,32.0°F,,1:51 AM,10.0mi,Variable,3.5mph,28.7°F,2014-01-10
2,Overcast,18.0°F,	,  -,,59%,,30.59in,30.9°F,,2:17 AM,10.0mi,Calm,Calm,  -,2014-01-10
3,Overcast,17.6°F,	,  -,,55%,,30.58in,32.0°F,,2:46 AM,10.0mi,NNE,3.5mph,28.7°F,2014-01-10
4,Overcast,18.0°F,	,  -,,59%,,30.56in,30.9°F,,2:51 AM,10.0mi,Calm,Calm,  -,2014-01-10
5,Overcast,18.0°F,	,  -,,59%,,30.55in,30.9°F,,3:51 AM,10.0mi,ENE,3.5mph,27.5°F,2014-01-10
